model,variable,mse_1_ori,mse_1_gen
LR,ab_pain_dur,0.001158277,0.000100168
LR,age,0.010629337,0.005965885
LR,aneroxia_dur,0.000280494,9.78E-05
LR,plasmodium_density,0.000347267,3.31E-05
LR,cough_dur,0.002181765,0.00026104
LR,diarrhea_dur,0.000295765,8.57E-06
LR,fatigue_dur,0.000369,0.000146454
LR,fever_dur,0.00083598,0.000465498
LR,headache_dur,0.001208469,0.000283717
LR,height,0.004830293,0.006121364
LR,hemoglobin,0.007593834,0.003364236
LR,joint_pain_dur,0.000373044,1.50E-05
LR,muscle_ache_dur,0.000241766,0.001303863
LR,temp,0.00415312,0.0064244
LR,vomit_dur,0.000785485,4.23E-05
LR,weight,0.002557611,0.005199218
LR,dday,0.021132679,0.008721898
LR,first_dday,0.02606732,0.031570591
KNR1,ab_pain_dur,0.001265328,6.18E-05
KNR1,age,0.006853233,0.002166183
KNR1,aneroxia_dur,0.000310763,4.15E-05
KNR1,plasmodium_density,0.000405918,3.06E-05
KNR1,cough_dur,0.002485976,0.000226136
KNR1,diarrhea_dur,0.000322843,5.20E-06
KNR1,fatigue_dur,0.000386335,8.71E-05
KNR1,fever_dur,0.000930941,0.000268144
KNR1,headache_dur,0.00127266,0.000153545
KNR1,height,0.001644573,0.003631893
KNR1,hemoglobin,0.008285369,0.002406942
KNR1,joint_pain_dur,0.00039993,7.88E-06
KNR1,muscle_ache_dur,0.000244514,0.000468543
KNR1,temp,0.004394889,0.004279186
KNR1,vomit_dur,0.000884946,3.82E-05
KNR1,weight,0.001696988,0.002184256
KNR1,dday,0.023381702,0.006719026
KNR1,first_dday,0.026577261,0.021290283
DTR,ab_pain_dur,0.001893209,7.95E-05
DTR,age,0.001451013,0.001247428
DTR,aneroxia_dur,0.000572593,1.66E-05
DTR,plasmodium_density,0.000809405,2.15E-05
DTR,cough_dur,0.004207108,0.000310209
DTR,diarrhea_dur,0.000446551,5.68E-06
DTR,fatigue_dur,0.000712966,9.57E-05
DTR,fever_dur,0.001434094,0.000295828
DTR,headache_dur,0.002183638,0.000162326
DTR,height,0.000963525,0.004877581
DTR,hemoglobin,0.01073206,0.0035382
DTR,joint_pain_dur,0.000654117,9.81E-06
DTR,muscle_ache_dur,0.000303854,0.000164745
DTR,temp,0.006837478,0.00483462
DTR,vomit_dur,0.001661995,3.45E-05
DTR,weight,0.001147016,0.001418119
DTR,dday,0.037740393,0.010011442
DTR,first_dday,0.041931526,0.006667278
