index,original,generated
0,1,1
1,0.900479753,0.723957448
2,0.88892518,0.747233247
3,0.861676431,0.760283027
4,0.834091299,0.729248096
5,0.799141572,0.749347815
6,0.76746295,0.68901672
7,0.752429546,0.737026155
8,0.707003564,0.740262208
9,0.691830084,0.7151717
10,0.677376717,0.710256851
11,0.652200913,0.698015686
12,0.647696817,0.673613849
13,0.643970942,0.685970406
14,0.649800129,0.665714252
15,0.639331617,0.661764453
16,0.659662245,0.656849605
17,0.684160375,0.633000525
18,0.677081429,0.627809298
19,0.701046214,0.636989774
20,0.706677503,0.613693452
21,0.719776311,0.61458256
22,0.722548198,0.617542235
23,0.727342504,0.549196152
24,0.742045752,0.584492157
25,0.730941621,0.536049908
26,0.740807127,0.576597113
27,0.737384889,0.529396292
28,0.714965929,0.523928686
29,0.70731078,0.568209282
30,0.691531533,0.503320211
31,0.681109996,0.52341993
32,0.642206854,0.482584928
33,0.628532644,0.479885663
34,0.61259489,0.464608882
35,0.588224628,0.472692946
36,0.569508131,0.471651954
37,0.561049967,0.461766837
38,0.540444764,0.461695448
39,0.517477577,0.459684854
40,0.533643883,0.451743494
